Gene	sim	sec
CG15225	Dsim\GD11540	Dsec\GM15778
CG15227	Dsim\GD11542	Dsec\GM15779
CG1523	Dsim\GD18016	Dsec\GM12282
CG15233	Dsim\GD10324	Dsec\GM20873
CG15236	Dsim\GD10429	Dsec\GM20902
CG15237	Dsim\GD10298	Dsec\GM20846
CG15239	Dsim\GD16661	Dsec\GM12315
CG15247	Dsim\GD24554	Dsec\GM11343
CG15252	Dsim\GD16045	Dsec\GM18821
CG15254	Dsim\GD21949	Dsec\GM14287
CG15255	Dsim\GD21951	Dsec\GM14306
CG15256	Dsim\GD24012	Dsec\GM16098
CG15258	Dsim\GD21959	Dsec\GM14390
CG15260	Dsim\GD21961	Dsec\GM14445
CG15262	Dsim\GD24003	Dsec\GM16027
CG15263	Dsim\GD24001	Dsec\GM16005
CG15269	Dsim\GD23994	Dsec\GM15938
CG15270	Dsim\GD23993	Dsec\GM15927
CG15278	Dsim\GD21982	Dsec\GM14643
CG15279	Dsim\GD21984	Dsec\GM14665
CG15283	Dsim\GD22004	Dsec\GM14795
CG1529	Dsim\GD15514	Dsec\GM20737
CG15293	Dsim\GD22018	Dsec\GM14940
CG15296	Dsim\GD16028	Dsec\GM11305
CG15309	Dsim\GD24655	Dsec\GM11334
CG15312	Dsim\GD16042	Dsec\GM11338
CG15317	Dsim\GD16960	Dsec\GM11360
CG1532	Dsim\GD15515	Dsec\GM22646
CG15322	Dsim\GD24879	Dsec\GM23006
CG15330	Dsim\GD16873	Dsec\GM11989
CG15332	Dsim\GD16138	Dsec\GM11958
CG15333	Dsim\GD24576	Dsec\GM11956
CG15336	Dsim\GD16883	Dsec\GM11230
CG15337	Dsim\GD24768	Dsec\GM11234
CG15343	Dsim\GD16121	Dsec\GM21452
CG15347	Dsim\GD16112	Dsec\GM21334
CG15356	Dsim\GD22882	Dsec\GM16578
CG15357	Dsim\GD22885	Dsec\GM16581
CG15358	Dsim\GD11996	Dsec\GM16582
CG15362	Dsim\GD23121	Dsec\GM10095
CG15365	Dsim\GD16089	Dsec\GM13689
CG15368	Dsim\GD16940	Dsec\GM11661
CG15369	Dsim\GD16941	Dsec\GM11662
CG1537	Dsim\GD16003	Dsec\GM11267
CG15370	Dsim\GD16942	Dsec\GM22382
CG15373	Dsim\GD17382	Dsec\GM22871
CG15375	Dsim\GD18762	Dsec\GM12322
CG15382	Dsim\GD23135	Dsec\GM23740
CG15385	Dsim\GD22866	Dsec\GM18257
CG15386	Dsim\GD22863	Dsec\GM18254
CG15387	Dsim\GD22861	Dsec\GM18252
CG15390	Dsim\GD23149	Dsec\GM18334
CG15394	Dsim\GD23163	Dsec\GM11931
CG15395	Dsim\GD23164	Dsec\GM18351
CG15398	Dsim\GD22812	Dsec\GM18207
CG15399	Dsim\GD22803	Dsec\GM18198
CG15403	Dsim\GD23209	Dsec\GM18396
CG15404	Dsim\GD23214	Dsec\GM18401
CG15406	Dsim\GD23217	Dsec\GM18403
CG15412	Dsim\GD22761	Dsec\GM18150
CG15414	Dsim\GD22754	Dsec\GM11130
CG15418	Dsim\GD22741	Dsec\GM18133
CG1542	Dsim\GD21564	Dsec\GM12926
CG15422	Dsim\GD23265	Dsec\GM18448
CG15423	Dsim\GD23266	Dsec\GM18450
CG15425	Dsim\GD23273	Dsec\GM18460
CG15429	Dsim\GD23278	Dsec\GM18464
CG15431	Dsim\GD22711	Dsec\GM18095
CG15432	Dsim\GD23287	Dsec\GM18473
CG15435	Dsim\GD23290	Dsec\GM18476
CG15436	Dsim\GD18833	Dsec\GM24032
CG15439	Dsim\GD22709	Dsec\GM18091
CG1544	Dsim\GD21563	Dsec\GM12925
CG15440	Dsim\GD22708	Dsec\GM18090
CG15443	Dsim\GD22704	Dsec\GM18086
CG15445	Dsim\GD17514	Dsec\GM23064
CG15446	Dsim\GD24437	Dsec\GM22640
CG15449	Dsim\GD15513	Dsec\GM22643
CG1545	Dsim\GD16004	Dsec\GM11268
CG15450	Dsim\GD24693	Dsec\GM23052
CG15452	Dsim\GD15523	Dsec\GM22659
CG15458	Dsim\GD24443	Dsec\GM22674
CG15459	Dsim\GD24444	Dsec\GM22675
CG15461	Dsim\GD17493	Dsec\GM23039
CG15465	Dsim\GD16720	Dsec\GM12387
CG15471	Dsim\GD16273	Dsec\GM12664
CG15472	Dsim\GD16276	Dsec\GM12668
CG15475	Dsim\GD24264	Dsec\GM23354
CG15478	Dsim\GD24580	Dsec\GM17462
CG15480	Dsim\GD22078	Dsec\GM25746
CG15482	Dsim\GD22079	Dsec\GM25790
CG15483	Dsim\GD22096	Dsec\GM25976
CG15484	Dsim\GD22100	Dsec\GM26009
CG15485	Dsim\GD22107	Dsec\GM26075
CG15497	Dsim\GD19433	Dsec\GM10433
CG15498	Dsim\GD19973	Dsec\GM11003
CG1550	Dsim\GD10218	Dsec\GM20754
CG15506	Dsim\GD21453	Dsec\GM12807
CG15514	Dsim\GD17609	Dsec\GM12210
CG15515	Dsim\GD21480	Dsec\GM12837
CG15517	Dsim\GD17594	Dsec\GM12208
CG1552	Dsim\GD24541	Dsec\GM11269
CG15522	Dsim\GD21483	Dsec\GM12840
CG15525	Dsim\GD17487	Dsec\GM12197
CG15526	Dsim\GD21501	Dsec\GM12859
CG15528	Dsim\GD17377	Dsec\GM12185
CG15529	Dsim\GD21505	Dsec\GM12865
CG15530	Dsim\GD21506	Dsec\GM12866
CG15531	Dsim\GD17223	Dsec\GM12171
CG15533	Dsim\GD21517	Dsec\GM12878
CG15534	Dsim\GD21518	Dsec\GM12879
CG15535	Dsim\GD17123	Dsec\GM12160
CG15536	Dsim\GD17112	Dsec\GM12159
CG15537	Dsim\GD17090	Dsec\GM12156
CG15539	Dsim\GD21524	Dsec\GM12885
CG15543	Dsim\GD21544	Dsec\GM12903
CG15545	Dsim\GD16818	Dsec\GM12128
CG15546	Dsim\GD16807	Dsec\GM12126
CG15547	Dsim\GD16785	Dsec\GM12123
CG15548	Dsim\GD21553	Dsec\GM12915
CG15549	Dsim\GD16741	Dsec\GM12119
CG15550	Dsim\GD16730	Dsec\GM12118
CG15553	Dsim\GD16622	Dsec\GM12108
CG15554	Dsim\GD21560	Dsec\GM12921
CG15556	Dsim\GD16589	Dsec\GM12105
CG15561	Dsim\GD16535	Dsec\GM12098
CG15563	Dsim\GD16513	Dsec\GM12096
CG15564	Dsim\GD16502	Dsec\GM12095
CG15570	Dsim\GD16675	Dsec\GM12332
CG15571	Dsim\GD16309	Dsec\GM12700
CG15572	Dsim\GD16683	Dsec\GM12337
CG15578	Dsim\GD24601	Dsec\GM12696
CG15579	Dsim\GD16303	Dsec\GM12693
CG15580	Dsim\GD19564	Dsec\GM10572
CG15594	Dsim\GD19855	Dsec\GM10873
CG15599	Dsim\GD15787	Dsec\GM22539
CG15601	Dsim\GD17229	Dsec\GM22567
CG15602	Dsim\GD24679	Dsec\GM22586
CG15605	Dsim\GD25492	Dsec\GM20002
CG1561	Dsim\GD24532	Dsec\GM13062
CG15611	Dsim\GD11249	Dsec\GM21758
CG15614	Dsim\GD11234	Dsec\GM21741
CG15615	Dsim\GD25514	Dsec\GM20030
CG15617	Dsim\GD25521	Dsec\GM20037
CG15618	Dsim\GD15559	Dsec\GM22702
CG15625	Dsim\GD23307	Dsec\GM18499
CG15628	Dsim\GD23301	Dsec\GM18493
CG15629	Dsim\GD23300	Dsec\GM18492
CG15630	Dsim\GD22692	Dsec\GM18075
CG15631	Dsim\GD22693	Dsec\GM18076
CG15642	Dsim\GD24500	Dsec\GM19536
CG15643	Dsim\GD24664	Dsec\GM22548
CG15649	Dsim\GD25242	Dsec\GM15767
CG15650	Dsim\GD25240	Dsec\GM15766
CG15651	Dsim\GD25239	Dsec\GM15764
CG15653	Dsim\GD25231	Dsec\GM15757
CG15657	Dsim\GD25222	Dsec\GM15747
CG15661	Dsim\GD25217	Dsec\GM15739
CG15666	Dsim\GD11591	Dsec\GM15832
CG15673	Dsim\GD25185	Dsec\GM15707
CG15674	Dsim\GD11608	Dsec\GM15846
CG15676	Dsim\GD11614	Dsec\GM15853
CG15695	Dsim\GD19378	Dsec\GM23139
CG15696	Dsim\GD19379	Dsec\GM23140
CG15701	Dsim\GD15432	Dsec\GM21674
CG15705	Dsim\GD11180	Dsec\GM21679
CG15706	Dsim\GD25557	Dsec\GM20079
CG15708	Dsim\GD25556	Dsec\GM20075
CG15710	Dsim\GD25542	Dsec\GM20060
CG15711	Dsim\GD25540	Dsec\GM20058
CG15712	Dsim\GD25535	Dsec\GM20054
CG15715	Dsim\GD12534	Dsec\GM24462
CG15717	Dsim\GD17100	Dsec\GM11602
CG15719	Dsim\GD15910	Dsec\GM11520
CG1572	Dsim\GD13927	Dsec\GM13066
CG15721	Dsim\GD17093	Dsec\GM11593
CG15725	Dsim\GD17086	Dsec\GM11581
CG15728	Dsim\GD17084	Dsec\GM11574
CG15731	Dsim\GD24663	Dsec\GM11552
CG15734	Dsim\GD15939	Dsec\GM13032
CG15735	Dsim\GD17059	Dsec\GM13250
CG15739	Dsim\GD17054	Dsec\GM13116
CG15740	Dsim\GD15966	Dsec\GM13042
CG15742	Dsim\GD15892	Dsec\GM11501
CG15747	Dsim\GD17116	Dsec\GM11622
CG1575	Dsim\GD16877	Dsec\GM11224
CG15754	Dsim\GD17130	Dsec\GM17611
CG15756	Dsim\GD17131	Dsec\GM17612
CG15760	Dsim\GD17138	Dsec\GM17627
CG15764	Dsim\GD16761	Dsec\GM12445
CG15765	Dsim\GD16757	Dsec\GM12442
CG15766	Dsim\GD16227	Dsec\GM12613
CG15767	Dsim\GD16753	Dsec\GM12437
CG15771	Dsim\GD16749	Dsec\GM12434
CG15772	Dsim\GD16748	Dsec\GM12433
CG15773	Dsim\GD16746	Dsec\GM12431
CG15784	Dsim\GD16732	Dsec\GM12413
CG15803	Dsim\GD20179	Dsec\GM18711
CG15812	Dsim\GD13730	Dsec\GM14537
CG15814	Dsim\GD24486	Dsec\GM22850
CG15818	Dsim\GD23470	Dsec\GM16433
CG15820	Dsim\GD13406	Dsec\GM14136
CG15822	Dsim\GD13411	Dsec\GM14140
CG15829	Dsim\GD13993	Dsec\GM14820
CG15861	Dsim\GD24905	Dsec\GM11775
CG15863	Dsim\GD10036	Dsec\GM26744
CG15864	Dsim\GD18523	Dsec\GM23710
CG15865	Dsim\GD15731	Dsec\GM13380
CG15873	Dsim\GD24955	Dsec\GM11835
CG15876	Dsim\GD13237	Dsec\GM13954
CG15877	Dsim\GD13393	Dsec\GM14123
CG15878	Dsim\GD13403	Dsec\GM14133
CG15879	Dsim\GD13410	Dsec\GM14138
CG15880	Dsim\GD22940	Dsec\GM16644
CG15881	Dsim\GD14828	Dsec\GM19650
CG15882	Dsim\GD24466	Dsec\GM22771
CG15887	Dsim\GD20510	Dsec\GM25951
CG15888	Dsim\GD20511	Dsec\GM25952
CG15891	Dsim\GD16197	Dsec\GM12579
CG15892	Dsim\GD16198	Dsec\GM12580
CG15894	Dsim\GD16795	Dsec\GM12481
CG15905	Dsim\GD25312	Dsec\GM19820
CG15908	Dsim\GD10416	Dsec\GM20886
CG15912	Dsim\GD16695	Dsec\GM12350
CG15914	Dsim\GD24681	Dsec\GM22590
CG15916	Dsim\GD24682	Dsec\GM22594
CG15919	Dsim\GD11220	Dsec\GM21725
CG15922	Dsim\GD20058	Dsec\GM23185
CG15923	Dsim\GD20049	Dsec\GM23176
CG15925	Dsim\GD11194	Dsec\GM21698
CG15930	Dsim\GD24593	Dsec\GM12649
CG1598	Dsim\GD10240	Dsec\GM20779
CG1602	Dsim\GD10244	Dsec\GM20782
CG1603	Dsim\GD10245	Dsec\GM20783
CG1607	Dsim\GD21575	Dsec\GM12940
CG1620	Dsim\GD15307	Dsec\GM20787
CG1622	Dsim\GD17111	Dsec\GM11616
CG1628	Dsim\GD16025	Dsec\GM11300
CG1632	Dsim\GD16890	Dsec\GM21485
CG1635	Dsim\GD21587	Dsec\GM16432
CG1636	Dsim\GD16892	Dsec\GM21496
CG1637	Dsim\GD16010	Dsec\GM11279
CG1638	Dsim\GD21588	Dsec\GM16434
CG1640	Dsim\GD17120	Dsec\GM11628
CG1646	Dsim\GD21382	Dsec\GM12738
CG1647	Dsim\GD21383	Dsec\GM12739
CG1648	Dsim\GD10052	Dsec\GM20580
CG1657	Dsim\GD17010	Dsec\GM11467
CG1662	Dsim\GD17122	Dsec\GM11631
CG1663	Dsim\GD10687	Dsec\GM21155
CG1665	Dsim\GD10688	Dsec\GM10090
CG1667	Dsim\GD10689	Dsec\GM24406
CG16700	Dsim\GD17327	Dsec\GM13484
CG16704	Dsim\GD22738	Dsec\GM18131
CG1671	Dsim\GD10690	Dsec\GM24417
CG16710	Dsim\GD21023	Dsec\GM26514
CG16711	Dsim\GD14208	Dsec\GM25178
CG16713	Dsim\GD22735	Dsec\GM18128
CG16716	Dsim\GD11467	Dsec\GM21973
CG16717	Dsim\GD14203	Dsec\GM25174
CG16719	Dsim\GD14206	Dsec\GM25176
CG16721	Dsim\GD16762	Dsec\GM12446
CG16727	Dsim\GD19297	Dsec\GM26853
CG1673	Dsim\GD17125	Dsec\GM11632
CG16732	Dsim\GD18375	Dsec\GM23558
CG16734	Dsim\GD18600	Dsec\GM23789
CG16736	Dsim\GD20812	Dsec\GM26277
CG16739	Dsim\GD11511	Dsec\GM22011
CG1674	Dsim\GD24401	Dsec\GM26789
CG16741	Dsim\GD11513	Dsec\GM22014
CG16749	Dsim\GD20806	Dsec\GM26269
CG16753	Dsim\GD13725	Dsec\GM14528
CG16758	Dsim\GD13387	Dsec\GM14117
CG16762	Dsim\GD13390	Dsec\GM14119
CG1677	Dsim\GD16158	Dsec\GM17474
CG16771	Dsim\GD24203	Dsec\GM17344
CG16772	Dsim\GD24237	Dsec\GM17384
CG16775	Dsim\GD12364	Dsec\GM24294
CG16779	Dsim\GD20794	Dsec\GM26255
CG16781	Dsim\GD16331	Dsec\GM12725
CG16782	Dsim\GD16332	Dsec\GM12727
CG16786	Dsim\GD15461	Dsec\GM18304
CG16787	Dsim\GD24989	Dsec\GM15487
CG16789	Dsim\GD18626	Dsec\GM23817
CG16790	Dsim\GD20784	Dsec\GM26244
CG16791	Dsim\GD19989	Dsec\GM11029
CG16798	Dsim\GD21705	Dsec\GM23330
CG16799	Dsim\GD25259	Dsec\GM19770
CG16800	Dsim\GD23859	Dsec\GM10082
CG16812	Dsim\GD23873	Dsec\GM10268
CG16813	Dsim\GD23874	Dsec\GM10279
CG16815	Dsim\GD23875	Dsec\GM10290
CG16817	Dsim\GD18637	Dsec\GM23826
CG16820	Dsim\GD23880	Dsec\GM10333
CG16825	Dsim\GD23886	Dsec\GM10407
CG16826	Dsim\GD23888	Dsec\GM10414
CG16833	Dsim\GD23748	Dsec\GM18785
CG16836	Dsim\GD11367	Dsec\GM21871
CG16837	Dsim\GD11860	Dsec\GM11862
CG16848	Dsim\GD23899	Dsec\GM10510
CG16852	Dsim\GD23909	Dsec\GM10630
CG16853	Dsim\GD23910	Dsec\GM10641
CG16854	Dsim\GD23760	Dsec\GM18862
CG16863	Dsim\GD23922	Dsec\GM15203
CG16865	Dsim\GD23925	Dsec\GM15233
CG16868	Dsim\GD25286	Dsec\GM19794
CG1688	Dsim\GD10053	Dsec\GM20581
CG16884	Dsim\GD22028	Dsec\GM15027
CG16885	Dsim\GD22029	Dsec\GM15034
CG16890	Dsim\GD22045	Dsec\GM15125
CG16892	Dsim\GD16950	Dsec\GM22467
CG16894	Dsim\GD25298	Dsec\GM19805
CG16896	Dsim\GD24912	Dsec\GM11784
CG1690	Dsim\GD10054	Dsec\GM20582
CG16903	Dsim\GD16393	Dsec\GM18920
CG16904	Dsim\GD20753	Dsec\GM26206
CG16908	Dsim\GD20763	Dsec\GM26217
CG16926	Dsim\GD25316	Dsec\GM19824
CG16935	Dsim\GD25735	Dsec\GM20249
CG16940	Dsim\GD13554	Dsec\GM14317
CG16941	Dsim\GD15098	Dsec\GM15394
CG16947	Dsim\GD22576	Dsec\GM17939
CG16952	Dsim\GD17249	Dsec\GM22593
CG16953	Dsim\GD20052	Dsec\GM23179
CG16956	Dsim\GD22058	Dsec\GM25521
CG16957	Dsim\GD22062	Dsec\GM25554
CG16959	Dsim\GD12576	Dsec\GM24504
CG16964	Dsim\GD23799	Dsec\GM26667
CG16965	Dsim\GD23801	Dsec\GM26677
CG16972	Dsim\GD22080	Dsec\GM25801
CG16974	Dsim\GD22082	Dsec\GM25812
CG16978	Dsim\GD22087	Dsec\GM25866
CG16979	Dsim\GD14556	Dsec\GM25541
CG1698	Dsim\GD10682	Dsec\GM21151
CG16984	Dsim\GD13694	Dsec\GM14497
CG16985	Dsim\GD13695	Dsec\GM14498
CG16986	Dsim\GD13696	Dsec\GM15032
CG16995	Dsim\GD23146	Dsec\GM18331
CG16998	Dsim\GD13050	Dsec\GM13751
CG17002	Dsim\GD10439	Dsec\GM20910
CG17003	Dsim\GD15558	Dsec\GM22698
CG17005	Dsim\GD23594	Dsec\GM17422
CG1701	Dsim\GD10261	Dsec\GM20799
CG17018	Dsim\GD24356	Dsec\GM26675
CG17019	Dsim\GD25803	Dsec\GM20325
CG17026	Dsim\GD14582	Dsec\GM25567
CG17027	Dsim\GD14585	Dsec\GM25570
CG17028	Dsim\GD14584	Dsec\GM25569
CG17029	Dsim\GD14583	Dsec\GM25568
CG1703	Dsim\GD17036	Dsec\GM13097
CG17030	Dsim\GD13222	Dsec\GM13939
CG17032	Dsim\GD14580	Dsec\GM25564
CG17036	Dsim\GD22102	Dsec\GM26031
CG17047	Dsim\GD10961	Dsec\GM21464
CG17048	Dsim\GD25767	Dsec\GM20286
CG17059	Dsim\GD10951	Dsec\GM21453
CG17068	Dsim\GD15548	Dsec\GM22685
CG17075	Dsim\GD22974	Dsec\GM16686
CG17078	Dsim\GD22972	Dsec\GM16684
CG17083	Dsim\GD18392	Dsec\GM23577
CG17098	Dsim\GD23721	Dsec\GM18648
CG17104	Dsim\GD23723	Dsec\GM18670
CG17109	Dsim\GD21000	Dsec\GM26486
CG17110	Dsim\GD20998	Dsec\GM26485
CG17118	Dsim\GD23728	Dsec\GM18720
CG17119	Dsim\GD18410	Dsec\GM23597
CG17124	Dsim\GD22228	Dsec\GM11468
CG17127	Dsim\GD23732	Dsec\GM18738
CG17129	Dsim\GD13520	Dsec\GM14264
CG17134	Dsim\GD23736	Dsec\GM18746
CG17140	Dsim\GD22221	Dsec\GM11380
CG17141	Dsim\GD18426	Dsec\GM23617
CG17145	Dsim\GD14859	Dsec\GM22260
CG17147	Dsim\GD14860	Dsec\GM22261
CG17154	Dsim\GD14354	Dsec\GM25323
CG17159	Dsim\GD15471	Dsec\GM13285
CG17163	Dsim\GD15472	Dsec\GM13287
CG17167	Dsim\GD15468	Dsec\GM13278
CG17168	Dsim\GD15469	Dsec\GM13279
CG17169	Dsim\GD15470	Dsec\GM13281
CG17173	Dsim\GD12602	Dsec\GM24531
CG1718	Dsim\GD17314	Dsec\GM22632
CG17180	Dsim\GD11019	Dsec\GM14343
CG17186	Dsim\GD20096	Dsec\GM26889
CG17187	Dsim\GD18742	Dsec\GM26112
CG17189	Dsim\GD21326	Dsec\GM10367
CG17190	Dsim\GD20087	Dsec\GM17702
CG17193	Dsim\GD20082	Dsec\GM17696
CG17196	Dsim\GD18170	Dsec\GM10218
CG17199	Dsim\GD20077	Dsec\GM23206
CG17202	Dsim\GD18831	Dsec\GM24030
CG17207	Dsim\GD20563	Dsec\GM26005
CG17209	Dsim\GD17239	Dsec\GM22579
CG17211	Dsim\GD23821	Dsec\GM26746
CG17217	Dsim\GD23826	Dsec\GM26755
CG17219	Dsim\GD23200	Dsec\GM16957
CG17221	Dsim\GD23203	Dsec\GM18391
CG17224	Dsim\GD12000	Dsec\GM18176
CG17233	Dsim\GD12206	Dsec\GM22237
CG17237	Dsim\GD22845	Dsec\GM18240
CG1724	Dsim\GD24434	Dsec\GM22636
CG17242	Dsim\GD22848	Dsec\GM18242
CG17249	Dsim\GD13457	Dsec\GM14192
CG17258	Dsim\GD22785	Dsec\GM18173
CG17260	Dsim\GD23202	Dsec\GM18390
CG17261	Dsim\GD23204	Dsec\GM18392
CG17264	Dsim\GD12004	Dsec\GM18386
CG17266	Dsim\GD10314	Dsec\GM20863
CG17267	Dsim\GD20040	Dsec\GM23167
CG17270	Dsim\GD20033	Dsec\GM23158
CG17271	Dsim\GD20031	Dsec\GM23156
CG17272	Dsim\GD20030	Dsec\GM23155
CG17278	Dsim\GD20020	Dsec\GM15117
CG17283	Dsim\GD19153	Dsec\GM15227
CG17287	Dsim\GD25489	Dsec\GM19998
CG17290	Dsim\GD11255	Dsec\GM21764
CG17292	Dsim\GD23531	Dsec\GM16918
CG17294	Dsim\GD23533	Dsec\GM16922
CG17300	Dsim\GD12675	Dsec\GM24609
CG17321	Dsim\GD24162	Dsec\GM17299
CG17322	Dsim\GD24160	Dsec\GM17297
CG17323	Dsim\GD24159	Dsec\GM17296
CG17324	Dsim\GD24158	Dsec\GM17295
CG17327	Dsim\GD20527	Dsec\GM25967
CG17328	Dsim\GD24049	Dsec\GM18664
CG17333	Dsim\GD24783	Dsec\GM11437
CG17343	Dsim\GD24182	Dsec\GM17323
CG17344	Dsim\GD24183	Dsec\GM17324
CG17349	Dsim\GD24196	Dsec\GM17338
CG17350	Dsim\GD24197	Dsec\GM17339
CG17359	Dsim\GD12639	Dsec\GM24566
CG17360	Dsim\GD20635	Dsec\GM26071
CG17361	Dsim\GD14470	Dsec\GM25443
CG17364	Dsim\GD12641	Dsec\GM24568
CG1737	Dsim\GD17016	Dsec\GM11473
CG17378	Dsim\GD23431	Dsec\GM16216
CG1738	Dsim\GD17014	Dsec\GM11471
CG17380	Dsim\GD18383	Dsec\GM23567
CG17385	Dsim\GD25683	Dsec\GM20212
CG17386	Dsim\GD11054	Dsec\GM21546
CG17387	Dsim\GD19655	Dsec\GM10681
CG17404	Dsim\GD20591	Dsec\GM26033
CG17470	Dsim\GD21693	Dsec\GM23320
CG17472	Dsim\GD24265	Dsec\GM23356
CG17475	Dsim\GD20249	Dsec\GM15383
CG17477	Dsim\GD20250	Dsec\GM15384
CG17490	Dsim\GD17705	Dsec\GM26731
CG17493	Dsim\GD17706	Dsec\GM19287
CG1750	Dsim\GD16480	Dsec\GM12093
CG17528	Dsim\GD17699	Dsec\GM11705
CG17544	Dsim\GD21764	Dsec\GM17014
CG17549	Dsim\GD21765	Dsec\GM17015
CG17562	Dsim\GD19114	Dsec\GM15172
CG17564	Dsim\GD21768	Dsec\GM17018
CG17565	Dsim\GD19096	Dsec\GM15154
CG17568	Dsim\GD21772	Dsec\GM17024
CG17570	Dsim\GD21710	Dsec\GM23334
CG17571	Dsim\GD21711	Dsec\GM23335
CG17572	Dsim\GD21783	Dsec\GM17035
CG17574	Dsim\GD25807	Dsec\GM20330
CG17575	Dsim\GD25810	Dsec\GM20333
CG17580	Dsim\GD10922	Dsec\GM21426
CG17593	Dsim\GD23238	Dsec\GM18418
CG17598	Dsim\GD15484	Dsec\GM11721
CG17599	Dsim\GD15483	Dsec\GM11720
CG17601	Dsim\GD24891	Dsec\GM11738
CG17612	Dsim\GD22716	Dsec\GM18099
CG17625	Dsim\GD20973	Dsec\GM26457
CG17633	Dsim\GD23629	Dsec\GM17695
CG17636	Dsim\GD16490	Dsec\GM11114
CG17646	Dsim\GD23112	Dsec\GM16832
CG17648	Dsim\GD23113	Dsec\GM16833
CG17650	Dsim\GD22894	Dsec\GM16593
CG17652	Dsim\GD22898	Dsec\GM16596
CG17658	Dsim\GD11807	Dsec\GM16060
CG17660	Dsim\GD22897	Dsec\GM16601
CG17666	Dsim\GD14403	Dsec\GM25371
CG17669	Dsim\GD25389	Dsec\GM19904
CG17672	Dsim\GD14424	Dsec\GM25392
CG17680	Dsim\GD25414	Dsec\GM19925
CG17681	Dsim\GD24132	Dsec\GM17267
CG17683	Dsim\GD17698	Dsec\GM20417
CG17687	Dsim\GD14442	Dsec\GM25412
CG17691	Dsim\GD17911	Dsec\GM10081
CG17707	Dsim\GD16489	Dsec\GM11113
CG17712	Dsim\GD22896	Dsec\GM16595
CG17717	Dsim\GD16805	Dsec\GM12500
CG17721	Dsim\GD20672	Dsec\GM23930
CG17726	Dsim\GD20670	Dsec\GM23928
CG17732	Dsim\GD14844	Dsec\GM19706
CG17737	Dsim\GD13742	Dsec\GM14550
CG17738	Dsim\GD18807	Dsec\GM24008
CG17739	Dsim\GD10852	Dsec\GM21355
CG17744	Dsim\GD13096	Dsec\GM13796
CG17746	Dsim\GD13337	Dsec\GM14062
CG17751	Dsim\GD19299	Dsec\GM26851
CG17754	Dsim\GD16948	Dsec\GM22425
CG17760	Dsim\GD10906	Dsec\GM21411
CG17765	Dsim\GD10744	Dsec\GM21221
CG17768	Dsim\GD22262	Dsec\GM11687
CG17770	Dsim\GD21234	Dsec\GM10264
CG17780	Dsim\GD18291	Dsec\GM23485
CG17781	Dsim\GD18292	Dsec\GM23486
CG17782	Dsim\GD18293	Dsec\GM23487
CG17784	Dsim\GD18295	Dsec\GM23489
CG17801	Dsim\GD20208	Dsec\GM15334
CG17802	Dsim\GD20209	Dsec\GM15335
CG17803	Dsim\GD20211	Dsec\GM15337
CG17806	Dsim\GD20210	Dsec\GM15336
CG17807	Dsim\GD25121	Dsec\GM15632
CG17816	Dsim\GD19455	Dsec\GM10450
CG17819	Dsim\GD18492	Dsec\GM23683
CG17821	Dsim\GD25362	Dsec\GM19879
CG17826	Dsim\GD14343	Dsec\GM25311
CG17829	Dsim\GD16517	Dsec\GM19078
CG17834	Dsim\GD23555	Dsec\GM17066
CG17839	Dsim\GD14505	Dsec\GM25484
CG17841	Dsim\GD16974	Dsec\GM11420
CG1785	Dsim\GD16915	Dsec\GM21787
CG17855	Dsim\GD23611	Dsec\GM17508
CG17883	Dsim\GD21577	Dsec\GM13620
CG1789	Dsim\GD16916	Dsec\GM21797
CG17896	Dsim\GD16476	Dsec\GM19037
CG17904	Dsim\GD24076	Dsec\GM17199
CG17906	Dsim\GD23580	Dsec\GM17325
CG1791	Dsim\GD24553	Dsec\GM18824
CG17917	Dsim\GD19864	Dsec\GM10885
CG17919	Dsim\GD19866	Dsec\GM10887
CG1792	Dsim\GD21591	Dsec\GM14867
CG17928	Dsim\GD24082	Dsec\GM17205
CG17929	Dsim\GD19090	Dsec\GM15148
CG17930	Dsim\GD19091	Dsec\GM15149
CG17931	Dsim\GD20296	Dsec\GM15440
CG17944	Dsim\GD19484	Dsec\GM10485
CG17959	Dsim\GD16627	Dsec\GM19261
CG17974	Dsim\GD25202	Dsec\GM15725
CG17982	Dsim\GD24641	Dsec\GM11207
CG17985	Dsim\GD10233	Dsec\GM20773
CG17994	Dsim\GD10329	Dsec\GM16475
CG17996	Dsim\GD21901	Dsec\GM17163
CG17999	Dsim\GD25248	Dsec\GM15772
CG18003	Dsim\GD10762	Dsec\GM21244
CG18004	Dsim\GD10763	Dsec\GM21245
CG1801	Dsim\GD15502	Dsec\GM22631
CG18011	Dsim\GD10720	Dsec\GM21193
CG18012	Dsim\GD20206	Dsec\GM15332
CG18048	Dsim\GD19867	Dsec\GM10888
CG18063	Dsim\GD24030	Dsec\GM18643
CG18065	Dsim\GD25270	Dsec\GM19779
CG18067	Dsim\GD11521	Dsec\GM22023
CG18088	Dsim\GD23578	Dsec\GM17304
CG18094	Dsim\GD24212	Dsec\GM17354
CG18095	Dsim\GD22020	Dsec\GM14963
CG18128	Dsim\GD25021	Dsec\GM15517
CG18130	Dsim\GD15949	Dsec\GM13231
CG18131	Dsim\GD22908	Dsec\GM16608
CG18132	Dsim\GD22906	Dsec\GM16606
CG18135	Dsim\GD12312	Dsec\GM14904
CG1814	Dsim\GD10664	Dsec\GM21134
